Epoch	LR	Train Loss	Recons Loss	KLD Loss	
122.000000	0.002964	0.963540	0.159650	0.803890	
123.000000	0.002934	1.043403	0.159215	0.884188	
124.000000	0.002905	1.033269	0.158792	0.874477	
125.000000	0.002876	1.042311	0.159030	0.883280	
126.000000	0.002847	0.950201	0.159274	0.790927	
127.000000	0.002819	1.040889	0.158710	0.882178	
128.000000	0.002790	0.993995	0.159003	0.834992	
129.000000	0.002763	0.943990	0.160092	0.783898	
130.000000	0.002735	0.978422	0.160007	0.818415	
131.000000	0.002708	0.977553	0.158804	0.818749	
132.000000	0.002680	0.975351	0.158751	0.816600	
133.000000	0.002654	0.961429	0.160072	0.801357	
134.000000	0.002627	0.950510	0.159304	0.791205	
135.000000	0.002601	1.028767	0.159401	0.869366	
136.000000	0.002575	0.991352	0.158740	0.832612	
137.000000	0.002549	0.909666	0.159081	0.750586	
138.000000	0.002524	0.936218	0.159455	0.776763	
139.000000	0.002498	0.873322	0.160693	0.712629	
140.000000	0.002473	0.868344	0.159934	0.708410	
141.000000	0.002449	0.886309	0.160041	0.726269	
142.000000	0.002424	0.909487	0.159474	0.750013	
143.000000	0.002400	0.854140	0.159542	0.694598	
144.000000	0.002376	0.858878	0.158645	0.700234	
145.000000	0.002352	0.829399	0.159289	0.670109	
146.000000	0.002329	0.869730	0.158889	0.710842	
147.000000	0.002305	0.897336	0.159163	0.738173	
148.000000	0.002282	0.860357	0.159173	0.701184	
149.000000	0.002259	0.837387	0.159415	0.677972	
150.000000	0.002237	0.827676	0.159096	0.668579	
151.000000	0.002215	0.861577	0.159810	0.701767	
152.000000	0.002192	0.871998	0.158839	0.713159	
153.000000	0.002170	0.854908	0.159326	0.695582	
154.000000	0.002149	0.819867	0.159595	0.660272	
155.000000	0.002127	0.835702	0.159972	0.675729	
156.000000	0.002106	0.804892	0.158328	0.646564	
157.000000	0.002085	0.790782	0.159695	0.631087	
158.000000	0.002064	0.827594	0.159100	0.668494	
159.000000	0.002043	0.800829	0.159124	0.641705	
160.000000	0.002023	0.802482	0.159270	0.643213	
161.000000	0.002003	0.799857	0.159722	0.640135	
162.000000	0.001983	0.783446	0.159341	0.624105	
163.000000	0.001963	0.788052	0.159539	0.628512	
164.000000	0.001943	0.756774	0.159615	0.597159	
165.000000	0.001924	0.791080	0.158602	0.632478	
166.000000	0.001905	0.827484	0.158957	0.668527	
167.000000	0.001886	0.806131	0.160158	0.645972	
168.000000	0.001867	0.792229	0.159641	0.632587	
169.000000	0.001848	0.787841	0.158982	0.628859	
170.000000	0.001830	0.739677	0.159271	0.580406	
171.000000	0.001811	0.723099	0.159189	0.563910	
172.000000	0.001793	0.801153	0.159339	0.641814	
173.000000	0.001775	0.739197	0.159450	0.579747	
174.000000	0.001757	0.736072	0.159823	0.576249	
175.000000	0.001740	0.750128	0.158476	0.591652	
176.000000	0.001722	0.700266	0.160170	0.540096	
177.000000	0.001705	0.731377	0.159285	0.572092	
178.000000	0.001688	0.780176	0.159525	0.620650	
179.000000	0.001671	0.720126	0.160025	0.560101	
180.000000	0.001655	0.717256	0.159541	0.557716	
181.000000	0.001638	0.706317	0.159992	0.546325	
182.000000	0.001622	0.713184	0.159304	0.553880	
183.000000	0.001605	0.755114	0.159569	0.595545	
184.000000	0.001589	0.742772	0.159215	0.583556	
185.000000	0.001574	0.729157	0.159449	0.569708	
186.000000	0.001558	0.709550	0.160092	0.549458	
187.000000	0.001542	0.691173	0.159757	0.531416	
188.000000	0.001527	0.701666	0.159752	0.541914	
189.000000	0.001512	0.705573	0.158580	0.546993	
190.000000	0.001496	0.685922	0.159324	0.526598	
191.000000	0.001481	0.727155	0.159466	0.567689	
192.000000	0.001467	0.654780	0.160039	0.494741	
193.000000	0.001452	0.689896	0.160095	0.529801	
194.000000	0.001437	0.678903	0.159293	0.519610	
195.000000	0.001423	0.669779	0.159748	0.510031	
196.000000	0.001409	0.695299	0.159627	0.535672	
197.000000	0.001395	0.689014	0.158562	0.530452	
198.000000	0.001381	0.690681	0.159591	0.531091	
199.000000	0.001367	0.707496	0.158933	0.548563	
200.000000	0.001353	0.711732	0.160378	0.551354	
201.000000	0.001340	0.645974	0.159269	0.486705	
202.000000	0.001326	0.699176	0.159439	0.539737	
203.000000	0.001313	0.650860	0.159579	0.491281	
204.000000	0.001300	0.671118	0.159908	0.511210	
205.000000	0.001287	0.649851	0.159459	0.490392	
206.000000	0.001274	0.647378	0.159450	0.487927	
207.000000	0.001261	0.623698	0.160521	0.463177	
208.000000	0.001249	0.663998	0.159625	0.504373	
209.000000	0.001236	0.673212	0.158792	0.514420	
210.000000	0.001224	0.694737	0.158884	0.535853	
211.000000	0.001212	0.654450	0.159414	0.495036	
212.000000	0.001200	0.650340	0.159465	0.490875	
213.000000	0.001188	0.632521	0.160374	0.472147	
214.000000	0.001176	0.681314	0.157922	0.523392	
215.000000	0.001164	0.671651	0.159604	0.512047	
216.000000	0.001152	0.637126	0.159294	0.477832	
217.000000	0.001141	0.630887	0.159417	0.471471	
218.000000	0.001129	0.638607	0.159059	0.479548	
219.000000	0.001118	0.609413	0.159418	0.449995	
220.000000	0.001107	0.617403	0.159182	0.458221	
221.000000	0.001096	0.624428	0.159052	0.465376	
222.000000	0.001085	0.598026	0.160100	0.437927	
223.000000	0.001074	0.621751	0.159001	0.462749	
224.000000	0.001063	0.608315	0.159084	0.449231	
225.000000	0.001053	0.610898	0.158897	0.452001	
226.000000	0.001042	0.596185	0.159472	0.436713	
227.000000	0.001032	0.597629	0.159093	0.438536	
228.000000	0.001021	0.617933	0.159202	0.458731	
229.000000	0.001011	0.586059	0.158947	0.427112	
230.000000	0.001001	0.571250	0.160069	0.411182	
231.000000	0.000991	0.612989	0.159581	0.453409	
232.000000	0.000981	0.591301	0.159915	0.431387	
233.000000	0.000971	0.623180	0.158957	0.464222	
234.000000	0.000962	0.615946	0.159715	0.456231	
235.000000	0.000952	0.614948	0.159910	0.455038	
236.000000	0.000942	0.594323	0.160140	0.434183	
237.000000	0.000933	0.581556	0.159034	0.422522	
238.000000	0.000924	0.582769	0.159372	0.423397	
239.000000	0.000914	0.616817	0.159118	0.457699	
240.000000	0.000905	0.591803	0.159737	0.432066	
241.000000	0.000896	0.636050	0.159690	0.476360	
242.000000	0.000887	0.597161	0.159515	0.437647	
243.000000	0.000878	0.590641	0.159452	0.431189	
244.000000	0.000870	0.571420	0.159780	0.411639	
245.000000	0.000861	0.578006	0.159625	0.418381	
246.000000	0.000852	0.585442	0.158759	0.426683	
247.000000	0.000844	0.585059	0.159330	0.425729	
248.000000	0.000835	0.590808	0.159488	0.431320	
249.000000	0.000827	0.586631	0.159275	0.427356	
250.000000	0.000819	0.633867	0.158886	0.474980	
251.000000	0.000811	0.612116	0.159418	0.452697	
252.000000	0.000802	0.636886	0.159700	0.477186	
253.000000	0.000794	0.607985	0.158721	0.449263	
254.000000	0.000787	0.591873	0.159864	0.432009	
255.000000	0.000779	0.584941	0.159637	0.425304	
256.000000	0.000771	0.556237	0.159975	0.396261	
